Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du d�partement;Nom de la r�gion;Commentaires;Nom de la borne
SIEML;Rue Nationale 49600 LA CHAPELLE DU GENET;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.182679,-1.018614;Beaupréau-en-Mauges;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6258
SIEML;Place Du Mail 49170 SAVENNIERES;2;22.0;semi-rapide;payant;24/24 7/7 jours;47.383595,-0.655311;Savennières;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6259
SIEML;Rue Aubance 49300 CHOLET;3;50.0;semi-rapide;payant;24/24 7/7 jours;47.0787,-0.83442;Cholet;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6260
SIEML;Aire Co D768 49240 AVRILLE;3;50.0;semi-rapide;payant;24/24 7/7 jours;47.51396,-0.61754;Avrillé;VENDEE;PAYS DE LA LOIRE;;B6261
SIEML;Av De La Marne 49300 CHOLET;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.051325,-0.885521;Cholet;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6262
SIEML;Aire Co Treillebois 49610 SAINT MELAINE SUR AUBANCE;3;50.0;semi-rapide;payant;24/24 7/7 jours;47.400515,-0.514327;Saint-Melaine-sur-Aubance;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6263
SIEML;Rue De L'Hotel De Ville 49300 CHOLET;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.058334,-0.87928;Cholet;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6264
SIEML;Place Jean XXIII 49000 ANGERS;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.449193,-0.56552;Angers;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6265
SIEML;Rue Turpin De Crisse 49000 ANGERS;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.465037,-0.554074;Angers;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6266
SIEML;Place Monprofit 49170 SAINT GEORGES SUR LOIRE;2;18.0;semi-rapide;payant;24/24 7/7 jours;47.4097886,-0.7583043;Saint-Georges-sur-Loire;MAINE-ET-LOIRE;PAYS DE LA LOIRE;;B6267
SIMONE;Avenue Gabriel Péri 13630 EYRAGUES;2;22.0;semi-rapide;payant;24/24 7/7 jours;43.839761,4.841645;Eyragues;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;;B6268
SIMONE;Rue Des Artisans - Borne 1 13460 SAINTES-MARIES-DE-LA-MER;2;22.0;semi-rapide;payant;24/24 7/7 jours;43.457535,4.42714;Saintes-Maries-de-la-Mer;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;;B6269
SIMONE;Avenue Du Général De Gaulle 13690 GRAVESON;2;22.0;semi-rapide;payant;24/24 7/7 jours;43.850038,4.775139;Graveson;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR;;B6270
Révéo;Parking Casino 30500 ALLEGRE LES FUMADES;2;18.0;semi-rapide;payant;24/24 7/7 jours;44.18624,4.228375;Allègre-les-Fumades;GARD;OCCITANIE;;B6271
Révéo;Avenue Saint Didier 30320 SAINT GERVASY;2;18.0;semi-rapide;payant;24/24 7/7 jours;43.876556,4.466064;Saint-Gervasy;GARD;OCCITANIE;;B6272
